,연도,시설번호,시설명,주소,사용여부,면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,위도,경도,도
727,2021,8,온수동새마을금고,서울특별시 구로구 부일로15길 10,Y,30,10,0,1,N,N,N,37.4937774,126.8342651,서울특별시
728,2021,8,기업은행 강일동지점,서울특별시 강동구 아리수로93길 9,Y,200,50,2,2,N,N,N,37.5652538,127.1742537,서울특별시
729,2021,99,스마트그늘막(남영동-6),서울특별시 용산구 청파로 378,Y,10,2,,,,,,37.5537145,126.9691789,서울특별시
730,2021,99,스마트그늘막(한강로동-3),서울특별시 용산구 한강대로 187,Y,16,4,,,,,,37.5355764,126.9735064,서울특별시
731,2021,99,스마트그늘막(한남동-2),서울특별시 용산구 이태원로 221,Y,16,4,,,,,,37.5351564,126.9983774,서울특별시
732,2021,99,마천청소년수련관,"서울특별시 송파구 마천동 성내천로 319 , 마천청소년수련관 (마천동)",Y,150,40,20,10,,,,37.4923338,127.1566447,서울특별시
733,2021,99,송파글마루도서관,서울특별시 송파구 충민로 120,Y,3000,330,0,1,,,,37.4807462,127.1305393,서울특별시
734,2021,99,송파어린이도서관,서울특별시 송파구 올림픽로 105,Y,1273,300,0,1,,,,37.512082,127.082432,서울특별시
735,2021,99,송파구청,서울특별시 송파구 신천동 올림픽로 326 (신천동),Y,26318,30,1,1,Y,,,37.5145241,127.1059388,서울특별시
736,2021,99,(사)대한노인회 용산구지회,서울특별시 용산구 임정로 54,Y,26,20,1,1,N,N,N,37.5444971,126.9581045,서울특별시
737,2021,99,강동아트센터,서울특별시 강동구 동남로 870,Y,93,20,0,1,N,Y,N,37.5513171,127.1571187,서울특별시
